AgreementID,NDISNo,ServiceProviderID,StartDate,EndDate,Status,AgreementType,ServicesOffered,FundingType,FundingAmount,ServiceID
2001,NDIS001,1001,1/1/2023,12/31/2023,Active,Personal Care,In-Home Support,Government Grant,50000,4001
2002,NDIS002,1002,3/15/2023,3/15/2024,Active,Community Access,Community Support,Private Donation,30000,4002
2003,NDIS003,1003,4/1/2023,12/1/2023,Active,Mental Health Support,Counseling Services,Government Grant,40000,4003
2004,NDIS004,1004,6/1/2023,6/1/2024,Active,Sensory Support,Vision Support,Charity Donation,25000,4004
2005,NDIS005,1005,5/1/2023,5/1/2024,Active,Physical Therapy,Exercise Support,Government Fund,35000,4005
2006,NDIS006,1006,7/1/2023,7/1/2024,Active,Cognitive Training,Brain Exercises,Private Donation,45000,4006
2007,NDIS007,1007,8/1/2023,8/1/2024,Active,Rehabilitation,Physical Therapy,Charity Fund,30000,4007
2008,NDIS008,1008,9/1/2023,9/1/2024,Active,Community Engagement,Group Activities,Private Funding,38000,4008
2009,NDIS009,1009,10/1/2023,10/1/2024,Active,Personal Development,Workshops,Government Funding,28000,4009
2010,NDIS010,1010,11/1/2023,11/1/2024,Active,Mental Health,Counseling,Private Funding,37000,4010
2006,NDIS006,1006,7/1/2023,7/1/2024,Active,Cognitive Training,Brain Exercises,Private Donation,45000,4005
