NDISNo,FirstName,LastName,DOB,Age,Gender,DisabilityType,Mobile,Street,City,State,PostalCode
NDIS001,John,Doe,1985-04-12,39,Male,Physical,1234567890,123 Main St,Sydney,NSW,2000
NDIS002,Jane,Smith,1990-08-21,34,Female,Cognitive,2345678901,456 Oak Ave,Melbourne,VIC,3000
NDIS003,Mike,Johnson,1982-03-11,42,Male,Mental,3456789012,789 Pine St,Brisbane,QLD,4000
NDIS004,Lucy,Brown,1995-07-14,28,Female,Sensory,4567890123,101 Maple Rd,Perth,WA,6000
NDIS005,Tom,Green,1993-10-30,30,Male,Physical,5678901234,102 Elm St,Adelaide,SA,5000
NDIS006,Anna,White,1987-02-05,37,Female,Cognitive,6789012345,789 Cedar Ave,Canberra,ACT,2600
NDIS007,David,Black,1991-01-23,33,Male,Physical,7890123456,456 Birch St,Darwin,NT,0800
NDIS008,Sophia,Miller,1998-09-10,25,Female,Cognitive,8901234567,789 Willow Ln,Hobart,TAS,7000
NDIS009,Chris,Johnson,1980-06-18,43,Male,Mental,9012345678,321 Oak Dr,Sydney,NSW,2000
NDIS010,Emma,Wilson,1992-12-24,31,Female,Physical,0123456789,654 Pine Rd,Melbourne,VIC,3000
